sentence_id annotator_id adj_subj subj landmark verb adj_obj obj annotator_score
1 1 dummy table draw depict dummy eye 1
2 1 dummy table draw attract dummy eye 7
3 1 dummy system meet visit dummy criterion 5
4 1 dummy system meet satisfy dummy criterion 6
5 1 dummy system meet visit dummy requirement 6
6 1 dummy system meet satisfy dummy requirement 6
7 1 dummy system provide supply dummy facility 7
8 1 dummy system provide leave dummy facility 4
9 1 dummy system run operate dummy application 5
10 1 dummy system run move dummy application 3
11 1 dummy woman draw depict dummy hair 5
12 1 dummy woman draw attract dummy hair 6
13 1 dummy magazine accept bear dummy liability 2
14 1 dummy machine run operate dummy program 7
15 1 dummy machine run move dummy program 1
16 1 dummy lawyer accept receive dummy conviction 2
17 1 dummy lawyer accept bear dummy conviction 5
18 1 dummy justice try test dummy king 3
19 1 dummy justice try judge dummy king 7
20 1 dummy judge try test dummy action 3
21 1 dummy male draw attract dummy female 4
22 1 dummy magazine accept receive dummy liability 2
23 1 dummy teacher write spell dummy book 2
24 1 dummy user run operate dummy application 7
25 1 dummy scholar write publish dummy book 1
26 1 dummy people try test dummy program 3
27 1 dummy people try judge dummy sniffing 5
28 1 dummy runway run operate dummy parallel 1
29 1 dummy people say state dummy success 7
30 1 dummy people try judge dummy door 2
31 1 dummy people try test dummy door 2
32 1 dummy people try judge dummy program 5
33 1 dummy people run operate dummy round 5
34 1 dummy people say allege dummy prayer 1
35 1 dummy people say state dummy prayer 7
36 1 dummy people say allege dummy success 2
37 1 dummy government accept receive dummy recommendation 2
38 1 dummy government provide leave dummy cash 1
39 1 dummy government provide supply dummy cash 7
40 1 dummy investor buy bribe dummy share 1
41 1 dummy firm buy purchase dummy politician 3
42 1 dummy government accept bear dummy proposal 2
43 1 dummy government accept receive dummy proposal 4
44 1 dummy government accept bear dummy recommendation 2
45 1 dummy road run move dummy parallel 1
46 1 dummy writer write publish dummy book 1
47 1 dummy investor buy purchase dummy share 7
48 1 dummy judge try judge dummy action 7
49 1 dummy river meet visit dummy sea 2
50 1 dummy runway run move dummy parallel 1
51 1 dummy school provide leave dummy education 1
52 1 dummy road run operate dummy parallel 1
53 1 dummy tribunal try judge dummy crime 7
54 1 dummy priest say allege dummy prayer 1
55 1 dummy priest say state dummy mass 7
56 1 dummy priest say allege dummy mass 1
57 1 dummy poll show picture dummy support 4
58 1 dummy poll show express dummy support 7
59 1 dummy politician buy purchase dummy election 5
60 1 dummy politician buy bribe dummy election 2
61 1 dummy people write spell dummy letter 5
62 1 dummy people write publish dummy letter 1
63 1 dummy people try test dummy sniffing 7
64 1 dummy member accept bear dummy share 4
65 1 dummy map show picture dummy location 7
66 1 dummy weapon buy purchase dummy chance 1
